Fall 2018,,,,,,,,,,,,,,,,,,,,,,
Subject,CatalogNbr,ClassDescr,Section,Instructor,Consent,EnrlCap,TopicDescr,MeetingStartDt,MeetingEndDt,FacilityId,MeetingTimeStart,MeetingTimeEnd,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,UnitsMin,UnitsMax,ClassAssnComponent
CIS,798,Top/Computer Science,R,"Munir,Arslan",No Special Consent Required,18,Top/Security/Reliab of Cmp Sys,8/20/2018,12/7/2018,BB2103,5:30 PM,6:45 PM,N,Y,N,Y,N,N,N,3,3,LEC
CIS,801,Translator Design 2,A,"Robby,-",No Special Consent Required,10,,8/20/2018,12/7/2018,K214,1:05 PM,2:20 PM,N,Y,N,Y,N,N,N,3,3,REC
CIS,833,Info Retrieval & Text Mining,A,"Caragea,Cornelia Alexandra",No Special Consent Required,20, ,8/20/2018,12/7/2018,DUE1117,11:30 AM,12:45 PM,N,Y,N,Y,N,N,N,3,3,LEC
CIS,833,Info Retrieval & Text Mining,ZA,"Caragea,Cornelia Alexandra",No Special Consent Required,20, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,LEC
CIS,833,Info Retrieval & Text Mining,ZB,"Caragea,Cornelia Alexandra",No Special Consent Required,30, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,LEC
CIS,841,Verificatn/Validatn,A,"Ranganath,Venkatesh",Instructor Consent Required,20, ,8/20/2018,12/7/2018,zzzzzz,3:55 PM,5:10 PM,N,Y,N,Y,N,N,N,3,3,REC
CIS,841,Verificatn/Validatn,ZA,"Ranganath,Venkatesh",Instructor Consent Required,25, ,8/20/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,3,3,REC
CIS,890,Top/Computer Science,T,"Prabhakar,Pavithra",No Special Consent Required,20,Top/Analy Cyber-Phys Sys,8/20/2018,12/7/2018,DUR1069,8:05 AM,9:20 AM,N,Y,N,Y,N,N,N,3,3,IND
CIS,890,Top/Computer Science,U,"Hsu,William Henry",No Special Consent Required,5,Top/KDD: Data Sci/Analytics,8/20/2018,12/7/2018, ,12:00 AM,12:00 AM,N,N,N,N,N,N,N,1,4,IND
CIS,890,Top/Computer Science,Q,"Amariucai,George",No Special Consent Required,10,Top/Adv Info Security Rsch,8/20/2018,12/7/2018, ,,,N,N,N,N,N,N,N,3,3,IND
